item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product
0;1200;1000;745;         60.900;CARDBOARD;;403006627RG
1;1200;1000;745;         60.900;CARDBOARD;;403006627RG
2;1140;950;640;        296.500;CARDBOARD;;403006627RG
3;1350;1150;1100;        311.900;WOOD;;403006627RG
4;1350;1150;1100;        311.900;WOOD;;403006627RG
5;1350;1150;1100;        311.900;WOOD;;403006627RG
6;1350;1150;1100;        311.900;WOOD;;403006627RG
7;1350;1150;1100;        311.900;WOOD;;403006627RG
8;1350;1150;1100;        311.900;WOOD;;403006627RG
9;1350;1150;1100;        311.900;WOOD;;403006627RG
10;1350;1150;1100;        311.900;WOOD;;403006627RG
11;1350;1150;1100;        311.900;WOOD;;403006627RG
12;1350;1150;1100;        311.900;WOOD;;403006627RG
13;1350;1150;1100;        311.900;WOOD;;403006627RG
14;1350;1150;1100;        311.900;WOOD;;403006627RG
15;1350;1150;1100;        311.900;WOOD;;403006627RG
16;1140;950;640;        381.000;CARDBOARD;;403006627RG
17;1450;1140;555;        413.300;CARDBOARD;;403006627RG
18;1450;1140;555;        441.100;CARDBOARD;;403006627RG
19;3880;470;550;        251.000;WOOD;;403006627RG
20;3880;470;550;        251.000;WOOD;;403006627RG
21;1140;950;640;        266.200;CARDBOARD;;403006627RG
22;1250;1050;850;        130.750;CARDBOARD;;403006627RG
23;1250;1050;850;        130.750;CARDBOARD;;403006627RG
24;1250;1050;850;        130.750;CARDBOARD;;403006627RG
25;1140;950;850;        151.700;CARDBOARD;;403006627RG
26;1140;950;850;        151.700;CARDBOARD;;403006627RG
27;1250;1050;850;         81.000;CARDBOARD;;403006627RG
28;1250;1050;850;         81.000;CARDBOARD;;403006627RG
29;1250;1050;850;         81.000;CARDBOARD;;403006627RG
30;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
31;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
32;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
33;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
34;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
35;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
36;1740;1140;850;        406.732;CARDBOARD;LENGTHWISE;112845638RG
37;1350;1150;1100;        311.900;WOOD;;403006627RG
38;1350;1150;1100;        311.900;WOOD;;403006627RG
39;1350;1150;1100;        311.900;WOOD;;403006627RG
40;1350;1150;1100;        311.900;WOOD;;403006627RG
41;1350;1150;1100;        311.900;WOOD;;403006627RG
42;1350;1150;1100;        311.900;WOOD;;403006627RG
43;1350;1150;1100;        311.900;WOOD;;403006627RG
44;1350;1150;1100;        311.900;WOOD;;403006627RG
45;1350;1150;1100;        311.900;WOOD;;403006627RG
46;1350;1150;1100;        311.900;WOOD;;403006627RG
47;1350;1150;1100;        311.900;WOOD;;403006627RG
48;1350;1150;1100;        311.900;WOOD;;403006627RG
49;1350;1150;1100;        311.900;WOOD;;403006627RG
50;1350;1150;1100;        311.900;WOOD;;403006627RG
51;1350;1150;1100;        311.900;WOOD;;403006627RG
52;1350;1150;1100;        311.900;WOOD;;403006627RG
53;1350;1150;1100;        311.900;WOOD;;403006627RG
54;1350;1150;1100;        311.900;WOOD;;403006627RG
55;1350;1150;1100;        311.900;WOOD;;403006627RG
56;1350;1150;1100;        311.900;WOOD;;403006627RG
57;1350;1150;1100;        311.900;WOOD;;403006627RG
58;1350;1150;1100;        311.900;WOOD;;403006627RG
59;1350;1150;1100;        311.900;WOOD;;403006627RG
60;1350;1150;1100;        311.900;WOOD;;403006627RG
61;1350;1150;1100;        311.900;WOOD;;403006627RG
62;1350;1150;1100;        311.900;WOOD;;403006627RG
63;1740;1140;640;        304.500;CARDBOARD;;462408465RG
64;1740;1140;640;        373.000;CARDBOARD;;462426448RG
